family,model_label,phase,seed_count,target_seed_count_observed,target_seed_count_met,f1_mean,f1_std,f1_sem,f1_report,roc_auc_mean,roc_auc_std,roc_auc_sem,roc_auc_report
emerg,EmerG,Cold,5,5,True,0.6128564492391578,0.0037678299839408,0.0016850247943507,0.6129 +/- 0.0038,0.7380002666842967,0.0054990551489127,0.0024592522249978,0.7380 +/- 0.0055
emerg,EmerG,Warm A,5,5,True,0.6785089272294427,0.001678941767724,0.0007508455845789,0.6785 +/- 0.0017,0.7930473175850857,0.0024265118840284,0.0010851691041797,0.7930 +/- 0.0024
emerg,EmerG,Warm B,5,5,True,0.6913441886609822,0.001609673595639,0.000719867916287,0.6913 +/- 0.0016,0.8011108273519717,0.0004361158379067,0.0001950369319247,0.8011 +/- 0.0004
emerg,EmerG,Warm C,5,5,True,0.6942041370202773,0.0008096656097449,0.0003620934684867,0.6942 +/- 0.0008,0.8039138243710718,0.0009977954862663,0.0004462277069868,0.8039 +/- 0.0010
dgd,DGD,Cold,5,5,True,0.6131389376811237,0.0031300764590987,0.0013998127474633,0.6131 +/- 0.0031,0.7319719862882136,0.002177986130022,0.0009740250081561,0.7320 +/- 0.0022
dgd,DGD,Warm A,5,5,True,0.6681360445045329,0.0020379149750051,0.0009113832832952,0.6681 +/- 0.0020,0.781429189518799,0.0025625215622709,0.0011459944814093,0.7814 +/- 0.0026
dgd,DGD,Warm B,5,5,True,0.6876265708101971,0.0007952007857072,0.0003556246025205,0.6876 +/- 0.0008,0.7961986269078595,0.0015707331263447,0.0007024532090035,0.7962 +/- 0.0016
dgd,DGD,Warm C,5,5,True,0.6921102592891251,0.0013623643202508,0.0006092678460402,0.6921 +/- 0.0014,0.8016740386171992,0.0017543249899555,0.0007845579864334,0.8017 +/- 0.0018
dgd_ablation,DGD-Ablation:selected,Cold,5,5,True,0.6156011017354409,0.0007687334921491,0.0003437880690052,0.6156 +/- 0.0008,0.7323647277390843,0.0021711833632991,0.0009709827183906,0.7324 +/- 0.0022
dgd_ablation,DGD-Ablation:selected,Warm A,5,5,True,0.6507517557804449,0.003083011346041,0.0013787645890302,0.6508 +/- 0.0031,0.7663303264040631,0.0012560268573393,0.0005617122869152,0.7663 +/- 0.0013
dgd_ablation,DGD-Ablation:selected,Warm B,5,5,True,0.6743270833951485,0.0021106489509066,0.0009439109061731,0.6743 +/- 0.0021,0.7848526734255166,0.0012106130997792,0.0005414026371116,0.7849 +/- 0.0012
dgd_ablation,DGD-Ablation:selected,Warm C,5,5,True,0.6851073388025142,0.0018531844250225,0.0008287692698388,0.6851 +/- 0.0019,0.7957558773426496,0.0010838410518031,0.0004847084537273,0.7958 +/- 0.0011
lightgcn,LightGCN,Cold,5,5,True,0.5797673528166194,1.4443651933951345e-05,6.459397513532302e-06,0.5798 +/- 0.0000,0.4968371712785304,0.0084689416413473,0.0037874258415062,0.4968 +/- 0.0085
lightgcn,LightGCN,Warm A,5,5,True,0.579756697084162,2.9662190533468236e-05,1.3265334878877144e-05,0.5798 +/- 0.0000,0.4916664383470585,0.0105125220517323,0.0047013427845277,0.4917 +/- 0.0105
lightgcn,LightGCN,Warm B,5,5,True,0.5797479010996511,2.8239674929758443e-05,1.2629166561087296e-05,0.5797 +/- 0.0000,0.4896019246133918,0.0112791674594852,0.0050441970338025,0.4896 +/- 0.0113
lightgcn,LightGCN,Warm C,5,5,True,0.5797443960665489,3.933191334303611e-05,1.7589766384031947e-05,0.5797 +/- 0.0000,0.4889704692667894,0.0117192274244153,0.0052409978329545,0.4890 +/- 0.0117
