phase,metric,comparison,seed_count,mean_delta,std_delta,min_delta,max_delta
Cold,f1,DGD - EmerG,5,0.00028248844196585574,0.004522965851792268,-0.002909938532305145,0.00810795297019562
Cold,f1,DGD - DGD-Ablation:selected,5,-0.0024621640543172505,0.0031586742347845466,-0.007170796439509797,0.0011179167629306042
Cold,f1,DGD - LightGCN,5,0.03337158486450422,0.0031315527229774337,0.0288182071890406,0.03753940680416057
Warm A,f1,DGD - EmerG,5,-0.010372882724909726,0.001172020741962012,-0.011585078399985127,-0.008541760835224288
Warm A,f1,DGD - DGD-Ablation:selected,5,0.017384288724088016,0.0038978038052464112,0.010420108687051899,0.019367167676341723
Warm A,f1,DGD - LightGCN,5,0.08837934742037087,0.0020643129216712268,0.08613861259539424,0.09123306347802473
Warm B,f1,DGD - EmerG,5,-0.003717617850785193,0.0020625820059238086,-0.006690140123878252,-0.001969599045898218
Warm B,f1,DGD - DGD-Ablation:selected,5,0.013299487415048628,0.0024617801442104966,0.009375333798720131,0.015330753249438334
Warm B,f1,DGD - LightGCN,5,0.10787866971054602,0.0007967000445860709,0.10691748124183353,0.10884908931742565
Warm C,f1,DGD - EmerG,5,-0.0020938777311523492,0.001166606868692765,-0.0033712458368181375,-0.0006942970229222301
Warm C,f1,DGD - DGD-Ablation:selected,5,0.007002920486610664,0.002609430204717233,0.004905615708240996,0.01141862716636699
Warm C,f1,DGD - LightGCN,5,0.11236586322257602,0.0013677536780554542,0.11097477615237172,0.11442024394204564
Cold,roc_auc,DGD - EmerG,5,-0.006028280396083252,0.0039049254220678313,-0.011259494042649254,-0.0014079344870807642
Cold,roc_auc,DGD - DGD-Ablation:selected,5,-0.0003927414508708038,0.0037167188141381913,-0.004464400868839591,0.004821743537756995
Cold,roc_auc,DGD - LightGCN,5,0.23513481500968308,0.00780079761743171,0.22688330602815676,0.2453369204791832
Warm A,roc_auc,DGD - EmerG,5,-0.011618128066286749,0.0018865405900051044,-0.013319899896889975,-0.009102923541653651
Warm A,roc_auc,DGD - DGD-Ablation:selected,5,0.015098863114735961,0.0028921521557601815,0.012011739704635427,0.019161638177100815
Warm A,roc_auc,DGD - LightGCN,5,0.28976275117174055,0.010104090915468543,0.27834088953828917,0.3014891229662812
Warm B,roc_auc,DGD - EmerG,5,-0.004912200444112114,0.0018032143081969335,-0.007255980283817465,-0.0022757338518196724
Warm B,roc_auc,DGD - DGD-Ablation:selected,5,0.011345953482342908,0.0017391179435760876,0.009322493812476185,0.01399009351196756
Warm B,roc_auc,DGD - LightGCN,5,0.30659670229446767,0.011041569267809895,0.2937105262188924,0.3202524321071787
Warm C,roc_auc,DGD - EmerG,5,-0.0022397857538726694,0.0013156476463706105,-0.004164785090771561,-0.0010289720246379197
Warm C,roc_auc,DGD - DGD-Ablation:selected,5,0.005918161274549383,0.0015789631029464468,0.004917349251116865,0.008646619685485746
Warm C,roc_auc,DGD - LightGCN,5,0.31270356935040977,0.011323468511710922,0.29903853538876735,0.3262932012610817
